ablation_stage,mean_paxton_margin_points,paxton_win_probability,delta_vs_previous_probability,delta_vs_full_model_probability,notes,last_updated
polling_only_component,5.442641405508275,0.7321416666666667,,0.09339666666666668,Polling baseline only.,2026-05-18
plus_primary_transfer_prior,4.521755410192044,0.699375,-0.03276666666666672,0.06062999999999996,Adds transfer prior blend.,2026-05-18
plus_top_two_primary_structure,3.9983082765803424,0.6749583333333333,-0.024416666666666642,0.03621333333333332,Adds top-two primary structural prior.,2026-05-18
plus_candidate_strength,4.472058276580342,0.69585,0.020891666666666642,0.05710499999999996,Adds bounded candidate-strength adjustment.,2026-05-18
plus_money_media,3.1105280841484535,0.6383583333333334,-0.05749166666666661,-0.0003866666666666463,Adds bounded money/media adjustment.,2026-05-18
