signal_group,row_count,latest_source_date,days_stale,missing_source_count,missing_notes_count,stale_flag,required_for_publish,model_use_status,last_updated
polls,38,2026-05-07,11,0,0,False,True,baseline,2026-05-18
county_results,4,2026-03-03,76,0,0,True,True,projection_input,2026-05-18
early_vote,2,2026-05-18,0,0,0,False,True,awaiting_reported_totals,2026-05-18
market_prices,10,2026-05-18,0,0,0,False,True,external_price_check,2026-05-18
finance_ads,14,2026-05-06,12,0,0,False,True,baseline_adjustment,2026-05-18
endorsements_events,10,2026-05-18,0,0,0,False,True,qualitative_shock_tracking,2026-05-18
turnout_signals,13,2026-05-18,0,0,0,False,True,scenario_context,2026-05-18
poll_miss,1,2026-03-02,77,0,0,True,False,stress_test_only,2026-05-18
