platform,contract,timestamp,paxton_model_probability,cornyn_model_probability,paxton_buy_price,cornyn_buy_price,average_spread,stale_price_flag,liquidity_warning,settlement_warning,paxton_edge,cornyn_edge,paxton_robust_edge,cornyn_robust_edge,required_edge,value_flag,research_side,decision_eligible,block_reasons,fractional_kelly,capped_exposure_fraction,illustrative_stake,max_loss,research_note,last_updated
Kalshi,Texas Republican Senate nominee,2026-03-14 12:00:00,0.638745,0.361255,0.55,0.45,,True,liquidity_unknown,verify_contract_terms,0.08874499999999996,-0.08874500000000002,-0.08880000000000005,-0.21502499999999997,0.14,no_bet_zone,None,False,edge_below_required_buffer;edge_not_durable_across_scenarios;forecast_withheld;liquidity_unknown;stale_market_price;verify_contract_terms,0.25,0.0,0.0,0.0,Research output only; default to no-bet unless forecast publication and market-safety gates both pass.,2026-05-18
Covers,Texas Republican Senate nominee,2026-05-01 12:00:00,0.638745,0.361255,0.59,0.41,,True,liquidity_unknown,verify_contract_terms,0.04874500000000004,-0.04874499999999998,-0.12879999999999997,-0.17502499999999993,0.14,no_bet_zone,None,False,edge_below_required_buffer;edge_not_durable_across_scenarios;forecast_withheld;liquidity_unknown;stale_market_price;verify_contract_terms,0.25,0.0,0.0,0.0,Research output only; default to no-bet unless forecast publication and market-safety gates both pass.,2026-05-18
Covers/Kalshi,Texas Republican Senate nominee,2026-05-18 08:00:00,0.638745,0.361255,0.64,0.38,,False,liquidity_unknown,verify_contract_terms,-0.0012550000000000061,-0.01874500000000001,-0.17880000000000001,-0.14502499999999996,0.14,no_bet_zone,None,False,edge_below_required_buffer;edge_not_durable_across_scenarios;forecast_withheld;liquidity_unknown;verify_contract_terms,0.25,0.0,0.0,0.0,Research output only; default to no-bet unless forecast publication and market-safety gates both pass.,2026-05-18
Polymarket,Texas Republican Senate nominee,2026-05-18 18:56:07,0.638745,0.361255,0.63,0.37,0.010000000000000009,False,ok,ok,0.008745000000000003,-0.008745000000000003,-0.1688,-0.13502499999999995,0.14,no_bet_zone,None,False,edge_below_required_buffer;edge_not_durable_across_scenarios;forecast_withheld,0.25,0.0,0.0,0.0,Research output only; default to no-bet unless forecast publication and market-safety gates both pass.,2026-05-18
