source,election_date,county,candidate,party,votes,pct,county_type,region_group,metro_area,data_quality,source_url,notes
TXElectionResults/SOS candidate feed,2026-03-03,statewide_unallocated,John Cornyn,Republican,910382,42.0,statewide,statewide,statewide,statewide_placeholder,https://txelectionresults.com/primaries/2026,"Statewide total used until full county-by-county candidate rows are imported."
TXElectionResults/SOS candidate feed,2026-03-03,statewide_unallocated,Ken Paxton,Republican,878564,40.5,statewide,statewide,statewide,statewide_placeholder,https://txelectionresults.com/primaries/2026,"Statewide total used until full county-by-county candidate rows are imported."
TXElectionResults/SOS candidate feed,2026-03-03,statewide_unallocated,Wesley Hunt,Republican,293250,13.5,statewide,statewide,statewide,statewide_placeholder,https://txelectionresults.com/primaries/2026,"Statewide total used until full county-by-county candidate rows are imported."
TXElectionResults/SOS candidate feed,2026-03-03,statewide_unallocated,Minor candidates,Republican,84714,3.9,statewide,statewide,statewide,statewide_placeholder,https://txelectionresults.com/primaries/2026,"Aggregated minor-candidate statewide vote used until full county rows are imported."
