source,candidate,party,votes,pct,statewide_or_county,county,early_votes,election_day_votes,absentee_votes,source_url,notes
AP/TexPolls,John Cornyn,Republican,907416,41.9,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Advanced to runoff."
AP/TexPolls,Ken Paxton,Republican,881192,40.7,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Advanced to runoff."
AP/TexPolls,Wesley Hunt,Republican,292702,13.5,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated; voter transfer is a key runoff uncertainty."
AP/TexPolls,Sara Canady,Republican,26355,1.2,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated."
AP/TexPolls,Anna Bender,Republican,24167,1.1,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated."
AP/TexPolls,"Gulrez ""Gus"" Khan",Republican,15873,0.7,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated."
AP/TexPolls,John O. Adefope,Republican,9284,0.4,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated."
AP/TexPolls,Virgil John Bierschwale,Republican,9035,0.4,statewide,,,,,https://texpolls.com/races/us-senate-2026,"Eliminated."
